feature,importance
total_WAR,0.640843781476603
team_wins,0.08109370472441678
led_rbi,0.05742196787770463
RBI,0.049019567851775754
TB,0.030899549911546642
milestones_hit,0.023235772882624385
SB,0.018785999307926262
runs_created,0.013717838835305675
H,0.012204829759081628
prev_vote_share,0.007798855155045233
league_titles,0.006508280547741728
BB,0.005963538826684531
won_pennant,0.005242319432154763
AB,0.005174974746376336
3B,0.004470902939538298
BA,0.0033464797224953243
R,0.00318626142045819
OBP,0.002536683258779131
SLG,0.002490398022856888
won_ws,0.0021829337872692096
OPS,0.0018108949642824319
made_playoffs,0.0017799152634824136
gold_glove,0.00168840232300965
p_K9,0.0016168227233607872
prev_mvp_wins,0.0015244269803690882
age,0.001374722869396928
2B,0.001218805461345427
G,0.001215771217384114
led_hr,0.0011185606224767806
led_ops,0.0010938153521398198
HR,0.0010659891401302733
XBH,0.0010375192095662782
p_W,0.0010232684998296303
WAR,0.0009334583584676196
ISO,0.0008746399037864142
p_WHIP_inv,0.0008694344694115294
led_war,0.0008559400932690646
is_allstar,0.0008380941782169498
big_market,0.0005489092561109965
hit_40hr,0.00048544340307764896
first_serious_run,0.0002516977738386272
led_ba,0.00015349593568047003
p_WAR_est,0.00010696328866179661
IP,0.00010686893011740238
p_ERA_inv,8.003259670213246e-05
p_SO,7.035092339334276e-05
prime_age,4.872866601790138e-05
hit_100rbi,4.823024828252264e-05
is_pitcher,2.410811122490695e-05
quality_pitcher,9.457612307982039e-06
hit_300ba,5.911382747297402e-07
silver_slugger,0.0
is_starter,0.0
is_two_way,0.0
elite_pitcher,0.0
